2023-12-19 13:02:49,900 INFO    MainThread:1517492 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2023-12-19 13:02:49,901 INFO    MainThread:1517492 [wandb_setup.py:_flush():76] Configure stats pid to 1517492
2023-12-19 13:02:49,901 INFO    MainThread:1517492 [wandb_setup.py:_flush():76] Loading settings from /home/tiandy/.config/wandb/settings
2023-12-19 13:02:49,901 INFO    MainThread:1517492 [wandb_setup.py:_flush():76] Loading settings from /home/tiandy/code/RAG_LTL/wandb/settings
2023-12-19 13:02:49,901 INFO    MainThread:1517492 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-12-19 13:02:49,901 INFO    MainThread:1517492 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-12-19 13:02:49,901 INFO    MainThread:1517492 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'evaluator.py', 'program_abspath': '/home/tiandy/code/RAG_LTL/evaluator.py', 'program': '/home/tiandy/code/RAG_LTL/evaluator.py'}
2023-12-19 13:02:49,902 INFO    MainThread:1517492 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-12-19 13:02:49,902 INFO    MainThread:1517492 [wandb_init.py:_log_setup():524] Logging user logs to /home/tiandy/code/RAG_LTL/wandb/run-20231219_130249-b6y0gaqk/logs/debug.log
2023-12-19 13:02:49,902 INFO    MainThread:1517492 [wandb_init.py:_log_setup():525] Logging internal logs to /home/tiandy/code/RAG_LTL/wandb/run-20231219_130249-b6y0gaqk/logs/debug-internal.log
2023-12-19 13:02:49,902 INFO    MainThread:1517492 [wandb_init.py:init():564] calling init triggers
2023-12-19 13:02:49,903 INFO    MainThread:1517492 [wandb_init.py:init():572] wandb.init called with sweep_config: {}
config: {}
2023-12-19 13:02:49,903 INFO    MainThread:1517492 [wandb_init.py:init():614] starting backend
2023-12-19 13:02:49,903 INFO    MainThread:1517492 [wandb_init.py:init():618] setting up manager
2023-12-19 13:02:49,907 INFO    MainThread:1517492 [backend.py:_multiprocessing_setup():107] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-12-19 13:02:49,912 INFO    MainThread:1517492 [wandb_init.py:init():624] backend started and connected
2023-12-19 13:02:49,919 INFO    MainThread:1517492 [wandb_init.py:init():716] updated telemetry
2023-12-19 13:02:49,954 INFO    MainThread:1517492 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-12-19 13:02:50,754 INFO    MainThread:1517492 [wandb_run.py:_on_init():2254] communicating current version
2023-12-19 13:02:50,815 INFO    MainThread:1517492 [wandb_run.py:_on_init():2263] got version response 
2023-12-19 13:02:50,815 INFO    MainThread:1517492 [wandb_init.py:init():800] starting run threads in backend
2023-12-19 13:02:54,389 INFO    MainThread:1517492 [wandb_run.py:_console_start():2233] atexit reg
2023-12-19 13:02:54,389 INFO    MainThread:1517492 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-12-19 13:02:54,390 INFO    MainThread:1517492 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-12-19 13:02:54,390 INFO    MainThread:1517492 [wandb_run.py:_redirect():2178] Redirects installed.
2023-12-19 13:02:54,392 INFO    MainThread:1517492 [wandb_init.py:init():841] run started, returning control to user process
